,Date,Document_Name,Category,File_Path,File_Size,Checksum_SHA256,Page_Count,Evidence_ID,Bates_Start,Bates_End,Bates_Status,Exhibit_ID
35,2025-05-18 15:54:11-0500,Lease - 2021 Pine Grove Co Sign Bianchi (attachment 1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Lease - 2021 Pine Grove Co Sign Bianchi (attachment 1).pdf,2976531,3c8af588a1c4216ed854465baaf9173f459da75865bff9ffd69d67c0785a3276,,,,,,
42,2025-10-30 03:34:46-0500,2024-10-29 - Operating Agreement - of IT CAN BE LLC.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-10-29 - Operating Agreement - of IT CAN BE LLC.pdf,593279,03685a1c605b1013198f5aa456b31c623a3833e68587bb3662cf3b5cae6c7c31,,,,,,
44,2025-10-30 03:36:11-0500,2023-03-20 - Operating Agreement - Retroactive Amendment to ARIBIA LLC.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-03-20 - Operating Agreement - Retroactive Amendment to ARIBIA LLC.pdf,657509,fca5be590f607f6cb76db09d19edafb6084a9a353bd2be68b6a8a8ec84e79c5c,,,,,,
45,2025-10-30 03:39:07-0500,Agreement - Shareholder.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Agreement - Shareholder.pdf,686605,e5f74b4b206b62fbe4444084edbbc1a6afdfc7ffcd0f5206bad9451663b42f70,,,,,,
46,2025-10-30 03:40:00-0500,2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO.pdf,717749,5b8be4c3d3a86323161f951fdc0cd13c7b0044188b2c4dcf4f48b726fee3ed99,,,,,,
47,2025-10-30 03:41:04-0500,Agreement - Aribia Property Manager.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Agreement - Aribia Property Manager.pdf,404325,af66ae79c55a5b0ee43f1052afcf09ca676afe759d5669c82f364b2f00b20cab,,,,,,
49,2025-10-30 14:06:04-0500,Agreement - LLC Operating.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Agreement - LLC Operating.pdf,634867,73f66b3098929bdecf276f3a2dfdc34e682f048eee14c0797196a4e4c0a67c89,,,,,,
51,2025-10-30 14:06:10-0500,2024-03-01 - Unanimous Consent Equity Grant Valuation (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Unanimous Consent Equity Grant Valuation (1).pdf,475887,25886ad62264c6970a3f089147f47f105089ae785c2e3286098fcfdf7fc89d88,,,,,,
54,2025-10-30 14:06:14-0500,2025-03-08 - Agreement - Amendment B to Operating of ARIBIA LLC.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2025-03-08 - Agreement - Amendment B to Operating of ARIBIA LLC.pdf,571004,41347bbb134e5618fa04d83360d5cb50890b96261332d1356769a4094704edac,,,,,,
57,2025-11-02 09:44:23-0600,ARIBIA LLC PAPERS WITH APOSTLE.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/ARIBIA LLC PAPERS WITH APOSTLE.pdf,7473857,6815b490092a2b41633d77808c0ef02defb5a8d40def71c74073f368e4c429e8,,,,,,
63,2025-11-02 22:52:31-0600,2022-07-12 - Premarital personal funds bank checking statement 4605.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2022-07-12 - Premarital personal funds bank checking statement 4605.pdf,83100,5eadedce64f1c41ba505f39e2d012ea4038e3611f688e47982bb8134dfb495dd,,,,,,
65,2025-11-02 22:52:31-0600,2022-07-18 - Wire for City Studio BIANCHI NICHOLAS USAA DocumentC8D24BD0.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2022-07-18 - Wire for City Studio BIANCHI NICHOLAS USAA DocumentC8D24BD0.pdf,47344,18fa222d1c1273f4ef111ee350a3b4d284fbd59d6c07f30249ea8bdeafaefcde,,,,,,
77,2025-11-02 22:52:40-0600,2024-12-18 - FMV It Can Be LLC.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-12-18 - FMV It Can Be LLC.docx,37141,04c82af44191fa677cfd79f6d298b1bf47ab9ab5f1d5fa52628a0c55b4be1786,,,,,,
79,2025-11-02 22:52:40-0600,20241210 Rentometer 4343 N Clarendon Ave 1610 Chicago IL.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/20241210 Rentometer 4343 N Clarendon Ave 1610 Chicago IL.pdf,723718,7e1e4c66317bfab26daa3c66e8c4fa673507767abef69321ec29b36d190a483f,,,,,,
82,2025-11-02 22:52:40-0600,"541 W Addison St Unit 3S, Chicago, IL 60613 MLS# 10487537.pdf",ARIBIA LLC Evidence Flat,"/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/541 W Addison St Unit 3S, Chicago, IL 60613 MLS# 10487537.pdf",12290550,b06113076799c935bc485a3a940b34c5e502649543f47b6a026e6c623c9eb8de,,,,,,
83,2025-11-02 22:52:40-0600,"550 W Surf St #211, Chicago, IL 60657 MLS# 11279903 Redfin.pdf",ARIBIA LLC Evidence Flat,"/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/550 W Surf St #211, Chicago, IL 60657 MLS# 11279903 Redfin.pdf",1374465,ef7a01a19eda02b9c2d8139550916cca686e611a1fef2a9f5907f2782072f72a,,,,,,
84,2025-11-02 22:52:40-0600,"550 W Surf St #504, Chicago, IL 60657 MLS# 11350357 Redfin.pdf",ARIBIA LLC Evidence Flat,"/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/550 W Surf St #504, Chicago, IL 60657 MLS# 11350357 Redfin.pdf",4040150,6c67a948bc1223dffd49fda45aa90a8a73c085190abce6610e5d361ce4ebc95b,,,,,,
87,2025-11-02 22:52:40-0600,"Cozy Castle Comp 559 W Surf St Apt 106, Chicago, IL 60657.pdf",ARIBIA LLC Evidence Flat,"/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Cozy Castle Comp 559 W Surf St Apt 106, Chicago, IL 60657.pdf",11094472,6f095da747747d5b3a598e8f1adb575067c376b3b47f87c5f013c43aafa21dd6,,,,,,
92,2025-11-02 22:52:40-0600,Villa Vista Estimate My Home Value Real Estate House Worth.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Villa Vista Estimate My Home Value Real Estate House Worth.pdf,1916542,8c76f82f46d5ec947a881b9a5a3b5e679e2cefbc90a9fa3a7882023affbab6ed,,,,,,
93,2025-11-02 22:52:40-0600,Villa Vista Estimated home worth Bank of America.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Villa Vista Estimated home worth Bank of America.pdf,3309085,bfa8ea927e763e1a8d568957bb64ccaac1ec6b335a89e2fb8deecf2512b57629,,,,,,
94,2025-11-02 22:52:43-0600,2023-08-30 - Inventory Checklist Addison 3.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-08-30 - Inventory Checklist Addison 3.docx,115773,5a9ec4aa2255b46c82d7521ddcc8f1123ba29a0e1d40aec5c6c23ff08bbd3cf5,,,,,,
95,2025-11-02 22:52:46-0600,2024-04-09 - statement.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-04-09 - statement.pdf,27540,ebad3fdf8c187b85fe7e2fe134f42083058454b0ed426c7bc52fc0174e4d0491,,,,,,
96,2025-11-02 22:52:46-0600,2024-07-01 - statement 3.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-07-01 - statement 3.pdf,13456,2b757e1d8f79826719b6463b99bf58f2366ab8eaec9490870f5c73eaecfd33c6,,,,,,
97,2025-11-02 22:52:46-0600,2024-10-01 - statement 3.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-10-01 - statement 3.pdf,35327,afea09212f35fcf5cc1fccdf19e8d8d11559ec7feec2b48302844a643109ee30,,,,,,
98,2025-11-02 22:52:46-0600,2025-03-08 - Operating Agreement - Amendment C to of ARIBIA LLC.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2025-03-08 - Operating Agreement - Amendment C to of ARIBIA LLC.pdf,523912,7f05746b49cbbf330e7da7c47f072a963ab4850cd177e2c222288c511eb04b5f,,,,,,
99,2025-11-02 22:52:50-0600,2022-07-15 - ARIBIA LLC ARTICLES OF ORGANIZATION (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2022-07-15 - ARIBIA LLC ARTICLES OF ORGANIZATION (1).pdf,159273,c2b03c2a461ba6b02eef28916781e57b32708c03169bab0de79b8134fb941d77,,,,,,
102,2025-11-02 22:52:50-0600,2022-08-01 - Aribia LLC Membership Certificate Arias (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2022-08-01 - Aribia LLC Membership Certificate Arias (1).pdf,1044742,974956aa91e6973715dda0e4f8473e9d7987302a87adcb72df0ff2d1b2388a43,,,,,,
104,2025-11-02 22:52:50-0600,2022-08-01 - ARIBIA LLC Membership Certificate BIANCHI.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2022-08-01 - ARIBIA LLC Membership Certificate BIANCHI.pdf,1057577,8042bce57f4f90a9546a769a34fc08429d17e80dde4935c4536c488f26cb187e,,,,,,
107,2025-11-02 22:52:50-0600,2023-03-28 - Re Langon Law Group LLC sent you an estimate (0006864).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-03-28 - Re Langon Law Group LLC sent you an estimate (0006864).pdf,422545,4666fde3537b9fb67e24f7ee3ee965e6b585d7dd02be6ad9d6050c4346ccce32,,,,,,
110,2025-11-02 22:52:50-0600,2023-05-09 - Agreement - Unit Purchase Jones.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-05-09 - Agreement - Unit Purchase Jones.pdf,263608,10737cdc16d0e7d4139b898d807713e34948a0d64afecf2e6ed695db1e08ae2d,,,,,,
111,2025-11-02 22:52:50-0600,2024-03-01 - Aribia LLC Membership List (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Aribia LLC Membership List (1).pdf,58079,4fb0f4be20945b0863b3caa6e0d64bc04d7585d9b9a900c9be71837661b4d23d,,,,,,
112,2025-11-02 22:52:50-0600,2024-03-01 - Aribia LLC Membership List copy.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Aribia LLC Membership List copy.docx,20261,0480e44c2c21e6918546b401de71abaf27dca63f2e710aea5e9091ee300829b4,,,,,,
113,2025-11-02 22:52:50-0600,2024-03-01 - Aribia LLC Membership List.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Aribia LLC Membership List.docx,20261,84d7d000108f9f04852adb45d71365729ccff01a61ff2df1fde72ee933d7acce,,,,,,
116,2025-11-02 22:52:50-0600,2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO 2.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO 2.pdf,225115,8f1caae21d30e6a408d78be93eb8d14d0baac9986dac5d2c6d813879d829ca0b,,,,,,
117,2025-11-02 22:52:50-0600,2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO copy.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO copy.docx,165239,3d77f6ee8b2dd8567ffd6e87366c13cc135286db90c7a9343bb6e10286f88c48,,,,,,
118,2025-11-02 22:52:50-0600,2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Operating Agreement - ARIBIA LLC AMENDMENT TO.docx,37620,131398da9d4f62d13153ca80371dcd520ff1983359f39a214ff634a00fd8bde5,,,,,,
119,2025-11-02 22:52:50-0600,2024-03-01 - Unanimous Consent Equity Grant Valuation.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-01 - Unanimous Consent Equity Grant Valuation.docx,22627,76c4dd21c9df73f25e557f8fb914ed8b4e4134d7c12d95f29d090831f27ef37d,,,,,,
123,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC APT ARLENE Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC APT ARLENE Registration.pdf,1484506,1ca27c13035f82aa6662371e82d7ad5a0f2c296196f6c783793420aefab9984c,,,,,,
124,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC CITY STUDIO Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC CITY STUDIO Registration.pdf,1484505,64d22230c49ea68edd555d4aa85ea9a0ec43996b3f7b7aa9754eb1bd8fa4f5be,,,,,,
126,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC INTL Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC INTL Registration.pdf,1484506,1dd986527deb0d34ec982713dce1182e4b8d85dcc16b009498b361b287f55753,,,,,,
127,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC LAKESIDE LOFT Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC LAKESIDE LOFT Registration.pdf,1484505,63c6934905883cd8b4f94aec04b3ff1c1b1b023210d540c367e1e66104462d46,,,,,,
128,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC MGMT Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC MGMT Registration.pdf,1484505,d1b3e1dc0b98ec4c2421790685cf5f865cf411586696ea204de417a64742be91,,,,,,
130,2025-11-02 22:52:50-0600,2024-03-15 - ARIBIA LLC Series Registration.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - ARIBIA LLC Series Registration.pdf,290809,c1f9022d0da6e58fba62da9d577bbf356de2e6ac9f36556f8b205cb10521be8a,,,,,,
131,2025-11-02 22:52:50-0600,2024-03-15 - Unanimous Consent Admission of New Member Sharon E Jones (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - Unanimous Consent Admission of New Member Sharon E Jones (1).pdf,39648,a4a03d09aac3d08f8e8e326322a6d891b5a5bfd4e15ccb740852d4da9e93d8da,,,,,,
132,2025-11-02 22:52:50-0600,2024-03-15 - Unanimous Consent Admission of New Member Sharon E Jones.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-03-15 - Unanimous Consent Admission of New Member Sharon E Jones.docx,629824,7017242eee3397d993c54e166409fa40d74adde885f834bc5d2799e64b638704,,,,,,
134,2025-11-02 22:52:50-0600,2024-04-01 - Agreement - ARIBIA LLC SHAREHOLDER.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-04-01 - Agreement - ARIBIA LLC SHAREHOLDER.docx,179772,7ea07f7880154053770091673dcf381cc8bb56be0b4ea1bd7697abd0fea16935,,,,,,
135,2025-11-02 22:52:50-0600,2024-04-01 - ARIBIA LLC MEMBER LIST as of.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-04-01 - ARIBIA LLC MEMBER LIST as of.docx,3739424,ac3dd54a1ae4f76ba2efbd2386ce4e7d7bfe9b060995cf0f84305d6443dd3db1,,,,,,
136,2025-11-02 22:52:50-0600,2024-05-27 - ~$IBIA LLC & CITY STUDIO SECURITY LOAN Jones Loan &.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - ~$IBIA LLC & CITY STUDIO SECURITY LOAN Jones Loan &.docx,162,97e9f11a47ec01d447e06e2f73159abb78f7783bd9cfa62b86ac28b73c96e8f7,,,,,,
137,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan & (1).docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan & (1).docx,4311226,a4f3973ee6d26a69c30adbe32fad3082e3598ab48c0ed2cd7088dd11db9c94c3,,,,,,
138,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan &.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan &.docx,4311584,6532528f6bc58e72a6ada79e4d2a8c1944d33df6e281e2fe99a05b6f3427f324,,,,,,
139,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan &.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan &.pdf,165143,f10348cc4a7b0de25d19781aa0fdfd202f8669911e4f96156d404ca4a7d4cbe9,,,,,,
140,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO SECURITY Jones Loan & Collateral.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - ARIBIA LLC & CITY STUDIO SECURITY Jones Loan & Collateral.docx,4311228,ec1279582f940fe88b6fb0dab2a6e1bfc357a728e3c976e35ca477bd5223e729,,,,,,
141,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - Backup of ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - Backup of ARIBIA LLC & CITY STUDIO INTER SERIES Jones Loan.docx,2675591,aeeb5122b0d05f3dd1ad9941b8e55abc45d9aaf53e5f013f7db4627ae91aeffc,,,,,,
142,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - LOAN ARIBIA LLC x JONES.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - LOAN ARIBIA LLC x JONES.docx,2735005,fba5d4a2124ed42cd3db3ab9473f11f04ad4a02132edceede7e6eaf4355b8f8d,,,,,,
143,2025-11-02 22:52:50-0600,2024-05-27 - Agreement - LOAN ARIBIA LLC x JONES.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Agreement - LOAN ARIBIA LLC x JONES.pdf,98211,f1ec79adb56d739bd31ab5acc3e5c00bcdfeeae8d2b3857c7b2581684e2a26bd,,,,,,
144,2025-11-02 22:52:50-0600,2024-05-27 - Backup of Board Resolution of ARIBIA LLC Jones Loan &.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Backup of Board Resolution of ARIBIA LLC Jones Loan &.docx,1905153,50e5cd13392399ffb24f6a6729f0ad3e07da8467e032a8872316a50182bea822,,,,,,
145,2025-11-02 22:52:50-0600,2024-05-27 - Board Resolution of ARIBIA LLC Jones Loan & Collateral (1).pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Board Resolution of ARIBIA LLC Jones Loan & Collateral (1).pdf,842650,1bf085ed5b780d4a50f93f3963af7d03d33c1147adb6d823d778a1ba4029c215,,,,,,
146,2025-11-02 22:52:50-0600,2024-05-27 - Board Resolution of ARIBIA LLC Jones Loan & Collateral.docx,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-05-27 - Board Resolution of ARIBIA LLC Jones Loan & Collateral.docx,2675580,ba610f52a531255c75d85aa769b32ddbfd068bc81a2b53edc81b4e54c61efa83,,,,,,
