owner	repo	default_branch	action	result	message
chittyos	docs	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyswarm	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittystandard	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyserv	claude/homelab-budget-guide-011CUPz881ZEdRYfyiXkbWEq	repo-protection	skipped	security-gates.yml missing
chittyos	chittyassets	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyos-workspace	session-8c21b5bf	repo-protection	skipped	security-gates.yml missing
chittyos	chittyos-cli	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyhelper	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittydiscovery	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyconnect-finance	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittycli	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittybeacon	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyagent-local	main	repo-protection	skipped	security-gates.yml missing
chittyos	chitty-mobile-connector	main	repo-protection	skipped	security-gates.yml missing
chittyos	chitty-issue-resolver	main	repo-protection	skipped	security-gates.yml missing
chittyos	chitty-desktop-connector	main	repo-protection	skipped	security-gates.yml missing
chittyos	.claude	main	repo-protection	skipped	security-gates.yml missing
chitcommit	arias-v-bianchi-mcp	main	repo-protection	skipped	security-gates.yml missing
chitcommit	billy-bullshit	main	repo-protection	skipped	security-gates.yml missing
chitcommit	demo-repository	main	repo-protection	skipped	security-gates.yml missing
chitcommit	corporate-strategy	main	repo-protection	skipped	security-gates.yml missing
chitcommit	shitcommit		repo-protection	skipped	no default branch
chitcommit	chittychat-data	main	repo-protection	skipped	security-gates.yml missing
chitcommit	chittypro-streamlink	main	repo-protection	skipped	security-gates.yml missing
chitcommit	chittyOS-data	main	repo-protection	skipped	security-gates.yml missing
chitcommit	chittyguardian	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	chicago	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	.github	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	chittyrental	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	chico	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	react-router-starter-template	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	llm-chat-app-template	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	rental-manager	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	demo-repository	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	remote-mcp-server	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	chicobuzzer	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	evict-assist	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	lease-agent	replit-agent	repo-protection	skipped	security-gates.yml missing
furnished-condos	dynamic-data	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	property-page	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	chittyentry	main	repo-protection	skipped	security-gates.yml missing
furnished-condos	lease-wiz	main	repo-protection	skipped	security-gates.yml missing
chittycorp	CHITTYCOUNSEL	main	repo-protection	skipped	security-gates.yml missing
chittycorp	chittyreception	main	repo-protection	skipped	security-gates.yml missing
chittycorp	.github	main	repo-protection	skipped	security-gates.yml missing
chittycorp	chittychronicle	main	repo-protection	skipped	security-gates.yml missing
chittycorp	chittyentry	main	repo-protection	skipped	security-gates.yml missing
chittycorp	chittyforce	main	repo-protection	skipped	security-gates.yml missing
